'13a581e1-2d7e-4c8d-b350-e3ab36dbe6a0' , '防爆锂离子电池的研发' , '随着社会的不断发展，锂电池的普及率越来越高，目前，国内锂离子电池产品存在安全隐患问题，为了满足客户及市场要求，结合本公司对锂电池防爆问题的研发经验积累，为了解决以上问题，特研发此项目。' 
'fe5abf02-4272-40fd-8b6e-a4e827c7e762' , '高韧性立方氮化硼CBN单晶的研制及其产业化' , '需求内容：\n    基于企业现有立方氮化硼产品牌号，企业需要开发高韧性立方氮化硼CBN单晶新牌号，通过配方选取诀窍、触媒自制工艺优化、高温高压合成工艺改进，获得粒度适中，纯净度高，韧性好的立方氮化硼新牌号。\n预期目标：\n    100/120粒度的抗冲击韧性≥67%，堆积密度≥1.80克/立方厘米，产品粒度峰值分布较好，氮化硼六方相到立方相的转变在73%以上。\n现有工作基础：\n    1、公司现有标准化厂房3栋，生产设备、检测设备、人员队伍完善，产业化基础良好。\n    2、公司自2011年成立以来，发展迅速，2016年被评为高新技术企业，生产技术团队稳定，管理人员执行力强，组织机构合理，8年来一直平稳运营，企业有进行开展项目研究的人力资源基础。\n    3、公司2018年度实现销售收入2002万元，利润总额520万元。企业开展项目研发的经济基础良好，能确保项目资金及时到位并按预期投入。\n    4、企业产品符合市场发展规律，市场前景良好，并有一定的市场客户基础。' 
'ea01cf6b-c0de-45f4-a10e-8e03ac3d634e' , '烧结金刚石圆锯片用模具新材料的研发及产业化关键技术研究' , '鉴于目前烧结金刚石圆锯片所使用的石墨材质和不锈钢材质的模具存在易变形，不耐磨等诸多问题，现需要开发一种新型的高温强度高、导热性能好、抗热震性能优良、易于加工、可以制作成形状复杂、精度高可反复使用的模具新材料，并实现其产业化生产，以替代现用石墨和不锈钢模具。' 
'e96db201-d775-49d4-86b3-467c1fbdbb12' , '海绵乡村中如何解决雨水路面渗透及净水难题' , '将乡村雨水收集起来进行沉淀、过滤、净化，用于农村作物灌溉及生活饮用等。目前难题海绵城市管道铺设，蓄水池建设，及水净化存在技术难题。' 
'4c3e8137-fab9-4b7b-90ab-2dbca7cd74d5' , '喷涂废弃物处理' , '在产品的喷涂过程中中，有许多的漆渣产生，每天都需要添加硫酸亚铁和双氧水，让其絮凝，以方便打捞，但效果不太理想，有两个方面：1、添加药物的数量比较多，成本较大，每年药物在50万元左右。2、效果不太理想，喷涂废水最多15天需要更换，频率太高。想购买高端的化学添加剂或高端工艺，使其喷涂废水在3个月更换一次。' 
'cf18d409-9e45-4c5e-98fa-b6f6cb8169ee' , '焦炉上升管余热回收及综合利用技术的研究与应用' , '不影响焦炉生产前提下，回收上升管荒煤气余热，以中间介质将捣固焦炉上升管段高温荒煤气的部分热量取出作为热源送至化工等区域取代（或补充）管式炉、煤气预热器等。\n要求：1、材质上必须安全可靠，不能出现泄漏情况；\n2、提取热量最大化的前提下，避免焦油结渣；\n3、能够实现长周期稳定运行，且热效率有保障。\n' 
'5e02c1a7-b804-4ed1-bf57-1f19efb6914c' , '大型石灰窑炉供风系统' , '    供风系统是石灰窑炉的关键组成部分，窑内是否供风均匀决定这石灰质量的好坏。窑炉内径越大，供风越不容易均匀。公司已自主研发了“一种石灰窑供风装置”的专利（专利号：ZL201721099528.4），主要用在公司内径3.2-4.6米，日产100-300吨的窑炉上。需求再寻找一种更适合于大型窑炉上用的供风系统。' 
'e35076f0-0d62-46c2-b5c3-cfc3dd134cc6' , '大型石灰窑炉出灰系统' , '    出灰系统是石灰窑炉的重要组成部分，我公司自主研发了“一种石灰生产圆盘出灰机”的发明专利（专利号：ZL201310586887.2），已用在公司的日产100-300吨的窑炉上取得了满意的使用效果。但在日产500吨的大型窑炉上，由于窑炉内径变大，出灰不容易均匀下降，该出灰机还需进一步完善，或用另一种结构和形式的设备来完成出灰功能。需求寻找一种更适合于大型石灰窑上使用的出灰设备。' 
'33d1d948-8fee-4b4b-9723-589bb6ae4582' , '高强抗氧化纤维与刷体基块材料开发与性能试验' , '      内容及预期目标：通过性能、耐磨性、老化试验选择一种在下列工况下（臭氧水浓度为16~60ppm，擦擦压力2000pa，纤维的直径为φ0.25~φ0.45mm）高强抗氧化纤维，连续工作4500小时不失效，价格便宜，便于加工生产。 \n     现有工作基础：已购买部分纤维材料，主要有长碳链尼龙PP/PBT/PA66/610 /612、 1010、1212 丝，PPT30S板材。	\n    希望解决的技术难题及预算    如果现有材料不能满足预期目标（在60PPm臭氧水浓度及2000Pa压力下，连续工作4500小时不损坏），则进行高强抗氧化纤维开发，预计投入研发费用30-50万。                              ' 
'53d35263-9b02-414c-a3cc-24aa53dd3ba9' , '磺化生产中静电除雾器收集酸的处理' , '在磺化生产中，尾气处理系统使用静电除雾器吸附尾气中的SO3和有机酸雾，存在较多过磺化物质、硫酸和其它物质，颜色黑、有焦化渣状颗粒。希望通过技术开发，实现对这个废料的处理和回收利用。' 
